국가,위중증,치명(%),완치(%),발생률,인구수,위중증_합계,위중증1일,확진자_합계,확진자1일,사망자_합계,사망자1일,완치_합계,완치1일
칠레🇨🇱,"386
-3",2.3,97.3,86492,19116201,386,-3,1653406,+611,37455,+6,+423,+423
캐나다🇨🇦,"776
+138",1.7,95.5,42926,37742154,776,+138,1615859,+3428,27754,+56,+5048,+5048
태국🇹🇭,3324,1.0,91.7,22972,69799978,3324,,1591829,+10414,16620,+122,+11580,+11580
방글라데시🇧🇩,1408,1.8,97.4,9442,164689383,1408,,1555051,+1178,27487,+17,+1086,+1086
이스라엘🇮🇱,"659
+18",0.6,95.1,147791,8655535,659,+18,1275405,+5175,7692,+8,+7889,+7889
파키스탄🇵🇰,"3948
-67",2.2,93.9,5637,220892340,3948,-67,1243385,+1560,27690,+52,+2970,+2970
벨기에🇧🇪,206,2.1,92.9,107236,11589623,206,,1240232,+1874,25581,+13,,
루마니아🇷🇴,"1320
+53",3.0,90.9,63502,19237691,1320,+53,1221636,+10826,36865,+207,+6046,+6046
스웨덴🇸🇪,"37
+2",1.3,N/A,114070,10099265,37,+2,1152027,+854,14814,+6,,
포르투갈🇵🇹,"68
-6",1.7,95.5,104792,10196709,68,-6,1068530,+755,17968,+6,+801,+801
세르비아🇷🇸,"243
-8",0.9,85.4,106948,8737371,243,-8,934440,+8171,8187,+45,+6044,+6044
모로코🇲🇦,"498
-54",1.5,97.0,25249,36910560,498,-54,930891,+1192,14225,+26,+1558,+1558
카자흐스탄🇰🇿,221,1.3,92.7,47127,18776707,221,,882634,+1925,11142,+42,+2857,+2857
쿠바🇨🇺,"421
+15",0.8,95.6,77024,11326616,421,+15,872425,+5617,7378,+48,+7277,+7277
스위스🇨🇭,"186
-23",1.3,91.3,96968,8654622,186,-23,839218,+1451,11087,+8,+6191,+6191
헝가리🇭🇺,"81
+7",3.7,95.4,85163,9660351,81,+7,822072,+546,30185,+6,+724,+724
요르단🇯🇴,"480
+34",1.3,97.2,80651,10203134,480,+34,821840,+1042,10703,+6,+967,+967
네팔🇳🇵,N/A,1.4,96.3,27256,29136808,N/A,,794163,+892,11123,+8,+1113,+1113
베트남🇻🇳,N/A,2.5,74.9,8007,97338579,N/A,,779398,+8758,19098,+162,+23568,+23568
오스트리아🇦🇹,"226
-14",1.5,95.8,82507,9006398,226,-14,741046,+2283,10998,+12,+2209,+2209
아랍에미레이트🇦🇪,N/A,0.3,99.0,74388,9890402,N/A,,735727,+270,2095,+1,+350,+350
튀니지🇹🇳,"295
-21",3.5,95.4,59763,11818619,295,-21,706314,+840,24842,+48,+552,+552
그리스🇬🇷,"322
-1",2.3,93.4,62701,10423054,322,-1,651378,+3287,14751,+24,,
레바논🇱🇧,200,1.3,95.0,91365,6825445,200,,622983,+543,8306,+10,+1143,+1143
조지아🇬🇪,N/A,1.5,95.3,153669,3989167,N/A,,611269,+1929,8917,+33,+1914,+1914
과테말라🇬🇹,5,2.4,92.5,31104,17915568,5,,553289,+2956,13453,+59,+3901,+3901
사우디아라비아🇸🇦,"224
-3",1.6,98.0,15715,34813871,224,-3,547090,+55,8713,+4,+46,+46
벨라루스🇧🇾,N/A,0.8,96.5,56734,9449323,N/A,,536097,+1993,4114,,+1295,+1295
코스타리카🇨🇷,"449
+6",1.2,80.7,104064,5094118,449,+6,528077,+2078,6316,+39,+1308,+1308
스리랑카🇱🇰,N/A,2.5,88.5,24119,21413249,N/A,,515524,+932,12786,+55,+743,+743
에콰도르🇪🇨,759,6.4,87.3,28863,17643054,759,,508655,,32747,,,
볼리비아🇧🇴,220,3.7,91.8,42842,11673021,220,,499648,+446,18716,+9,+672,+672
불가리아🇧🇬,"449
+17",4.2,87.2,71975,6948445,449,+17,497970,+2573,20725,+87,+2159,+2159
아제르바이잔🇦🇿,N/A,1.3,94.1,47650,10139177,N/A,,481401,,6476,,,
파나마🇵🇦,61,1.5,97.7,108198,4314767,61,,466589,+232,7219,+3,+373,+373
미얀마🇲🇲,N/A,3.8,90.1,8502,54409800,N/A,,461066,+1630,17631,+48,+1555,+1555
파라과이🇵🇾,"21
-2",3.5,96.3,64486,7132538,21,-2,459899,+44,16193,+2,+101,+101
쿠웨이트🇰🇼,10,0.6,99.2,96382,4270571,10,,411572,+39,2448,+1,+35,+35
슬로바키아🇸🇰,119,3.1,94.2,75556,5459642,119,,411080,+1459,12620,+14,+746,+746
크로아티아🇭🇷,"99
-3",2.1,95.8,98186,4105267,99,-3,403080,+1911,8628,+14,+896,+896
팔레스타인🇵🇸,"75
+1",1.0,92.4,78852,5101414,75,+1,402255,+3309,4080,+34,+4638,+4638
우루과이🇺🇾,13,1.6,98.1,111932,3473730,13,,388700,+128,6053,,+125,+125
아일랜드🇮🇪,"63
-3",1.3,88.1,78712,4937786,63,-3,387218,+1497,5209,,+1646,+1646
베네수엘라🇻🇪,681,1.2,95.3,12930,28435940,681,,366150,+1392,4443,+16,+1202,+1202
온두라스🇭🇳,418,2.7,30.1,36952,9904607,418,,365259,+654,9755,+50,+486,+486
덴마크🇩🇰,"16
+1",0.7,97.9,61871,5792202,16,+1,358369,+542,2654,+2,+346,+346
도미니카 공화국🇩🇴,"156
-15",1.1,97.5,33044,10847910,156,-15,357982,+465,4041,,+259,+259
에티오피아🇪🇹,"780
-11",1.6,90.4,2995,114963588,780,-11,343104,+799,5488,+49,+1301,+1301
리비아🇱🇾,N/A,1.4,76.2,49375,6871292,N/A,,339269,+1379,4636,+19,+2453,+2453
리투아니아🇱🇹,"214
+11",1.5,91.6,121840,2722289,214,+11,329869,+1973,4965,+19,+2627,+2627
대한민국🇰🇷,"331
+7",0.8,88.3,6072,51269185,331,+7,308725,+2885,2474,+10,+1796,+1796
오만🇴🇲,20,1.3,98.0,59479,5106626,20,,303738,+33,4096,+1,+294,+294
이집트🇪🇬,90,5.7,84.4,2969,102334404,90,,303045,+718,17263,+39,+599,+599
몽골🇲🇳,192,0.4,96.6,92757,3278290,192,,301434,+2515,1258,+16,+6616,+6616
슬로베니아🇸🇮,74,1.6,94.0,141112,2078938,74,,292333,+1339,4556,+3,+1362,+1362
몰도바🇲🇩,"174
+14",2.3,94.5,72593,4033963,174,+14,291252,+1209,6732,+19,+1195,+1195
바레인🇧🇭,"5
+1",0.5,99.2,161604,1701575,5,+1,274925,+48,1389,,+65,+65
아르메니아🇦🇲,N/A,2.0,92.5,88314,2963243,N/A,,260675,+896,5299,+22,+461,+461
케냐🇰🇪,92,2.1,96.9,4634,53771296,92,,248770,+255,5116,+7,+508,+508
카타르🇶🇦,"15
-1",0.3,99.2,82108,2881053,15,-1,236558,+76,605,,+126,+126
보스니아 헤르체고비나🇧🇦,N/A,4.5,82.2,71255,3280819,N/A,,233775,+654,10574,+32,,
잠비아🇿🇲,25,1.7,98.1,11369,18383955,25,,208912,,3647,,,
나이지리아🇳🇬,11,1.3,94.3,997,206139589,11,,205047,+295,2695,+5,+309,+309
알제리🇩🇿,"14
-4",2.9,68.5,4634,43851044,14,-4,203045,+168,5797,+11,+116,+116
북마케도니아🇲🇰,N/A,3.5,90.2,91637,2083374,N/A,,190463,+464,6630,+23,+496,+496
노르웨이🇳🇴,"23
+2",0.5,47.2,34835,5421241,23,+2,188295,+354,861,+10,,
키르기스스탄🇰🇬,131,1.5,97.0,27365,6524195,131,,178444,+69,2605,+1,+97,+97
보츠와나🇧🇼,1,1.3,97.2,75714,2351627,1,,178050,,2367,,,
우즈베키스탄🇺🇿,23,0.7,97.1,5196,33469203,23,,173409,+510,1234,+4,+659,+659
알바니아🇦🇱,3,1.6,92.2,58886,2877797,3,,168782,+594,2668,+15,+984,+984
라트비아🇱🇻,61,1.7,92.4,83280,1886198,61,,157083,+1203,2706,+6,+452,+452
에스토니아🇪🇪,"18
-1",0.9,92.2,117793,1326535,18,-1,155469,+747,1352,+1,+645,+645
아프가니스탄🇦🇫,1124,4.6,80.3,3987,38928346,1124,,155174,+46,7204,,+269,+269
모잠비크🇲🇿,32,1.3,97.5,4820,31255435,32,,150572,+32,1912,+2,+255,+255
핀란드🇫🇮,25,0.8,32.6,25428,5540720,25,,140889,+802,1062,,,
몬테네그로🇲🇪,N/A,1.5,93.0,208609,628066,N/A,,130500,,1914,,,
짐바브웨🇿🇼,12,3.5,94.1,8779,14862924,12,,130272,+353,4615,+8,+175,+175
나미비아🇳🇦,"18
+2",2.7,96.3,50176,2540905,18,+2,127493,+120,3494,,+35,+35
가나🇬🇭,42,0.9,96.4,4088,31072940,42,,127016,,1150,,,
우간다🇺🇬,"268
-59",2.6,77.8,2699,45741007,268,-59,123445,+200,3152,+6,+24,+24
키프로스🇨🇾,33,0.5,76.7,98083,1207359,33,,118298,+117,553,,,
캄보디아🇰🇭,N/A,2.1,91.5,6738,16718965,N/A,,111673,+881,2302,+15,+532,+532
코소보🇽🇰,N/A,2.1,98.0,59381,1810463,N/A,,107507,,2269,,,
엘살바도르🇸🇻,127,3.1,83.2,16088,6486205,127,,104348,,3222,+11,,
호주🇦🇺,301,1.2,72.8,4123,25499884,301,,102729,+1810,1278,+22,,
르완다🇷🇼,"11
+2",1.3,46.8,7517,12952218,11,+2,97190,+208,1259,+1,+4,+4
중국🇨🇳,N/A,4.8,94.2,67,1439323776,N/A,,96106,+25,4636,,+58,+58
싱가포르🇸🇬,"30
+3",0.1,83.1,16075,5850342,30,+3,91775,+2236,85,+5,+1045,+1045
카메룬🇨🇲,152,1.6,94.2,3477,26545863,152,,85414,,1368,,,
몰디브🇲🇻,23,0.3,97.9,156731,540544,23,,84579,+95,231,,+93,+93
자메이카🇯🇲,"42
-4",2.2,63.0,28194,2961167,42,-4,83342,+312,1859,+18,+239,+239
룩셈부르크🇱🇺,8,1.1,97.5,124813,625978,8,,77998,+68,835,,+6,+6
세네갈🇸🇳,"7
-2",2.5,97.3,4405,16743927,7,-2,73764,+7,1858,+3,+58,+58
말라위🇲🇼,67,3.7,88.9,3218,19129952,67,,61528,+11,2279,+1,+55,+55
코트디부아르🇨🇮,N/A,1.0,96.2,2280,26378274,N/A,,60020,+43,611,+4,+111,+111
콩고민주공화국🇨🇩,N/A,1.9,54.3,635,89561403,N/A,,56862,,1084,,,
앙골라🇦🇴,8,2.7,84.6,1722,32866272,8,,56040,+457,1526,+13,+93,+93
레위니옹🇷🇪,33,0.7,98.1,59959,895312,33,,53682,+441,366,+3,+653,+653
과들루프🇬🇵,23,1.3,4.2,133921,400124,23,,53140,,690,,,
피지🇫🇯,10,1.2,72.2,56839,896445,10,,50872,,621,,,
트리니다드 토바고🇹🇹,22,2.9,88.7,36055,1399488,22,,50229,+174,1466,+2,+197,+197
에스와티니🇸🇿,10,2.7,96.0,39567,1160164,10,,45870,+58,1216,+3,+42,+42
마다가스카르🇲🇬,3,2.2,96.3,1549,27691018,3,,42898,,958,,,
수리남🇸🇷,"17
-2",2.1,65.6,70605,586632,17,-2,40989,+513,870,+9,+13,+13
프랑스령 기아나🇬🇫,"32
-2",0.6,24.6,136751,298682,32,-2,40569,+779,262,+6,,
마르티니크🇲🇶,1,1.4,0.3,109600,375265,1,,40545,,582,,,
프랑스령 폴리네시아🇵🇫,24,1.5,83.4,143029,280908,24,,40178,,617,+1,,
수단🇸🇩,N/A,7.6,83.8,872,43849260,N/A,,38245,+28,2900,,+10,+10
카보베르데🇨🇻,23,0.9,97.5,67511,555987,23,,37501,+29,336,,+70,+70
몰타 공화국🇲🇹,"2
-1",1.2,96.8,84085,441543,2,-1,37127,+8,457,,+45,+45
모리타니🇲🇷,22,2.2,95.9,7740,4649658,22,,35942,+53,773,+1,+85,+85
시리아🇸🇾,N/A,6.6,70.4,1939,17500658,N/A,,33640,+317,2227,+12,+70,+70
가이아나🇬🇾,"31
+1",2.5,84.9,40224,786552,31,+1,31359,+123,778,+6,+82,+82
기니🇬🇳,24,1.2,94.8,2314,13132795,24,,30382,+18,378,,+46,+46
가봉🇬🇦,26,0.6,90.3,13261,2225734,26,,29515,,183,,,
토고🇹🇬,N/A,0.9,89.8,3064,8278724,N/A,,25323,+71,227,,+308,+308
라오스🇱🇦,N/A,0.1,23.7,3278,7275560,N/A,,23488,+1047,17,+1,,
베냉🇧🇯,5,0.7,75.3,1971,12123200,5,,22958,,154,,,
아이티🇭🇹,N/A,2.8,89.9,1898,11402528,N/A,,21647,,610,,,
세이셸🇸🇨,N/A,0.5,97.9,217058,98347,N/A,,21347,,115,,,
바하마🇧🇸,15,2.5,87.9,53361,393244,15,,20842,+67,523,,,
벨리즈🇧🇿,10,2.0,87.5,51727,397628,10,,20295,+350,408,+3,+190,+190
마요트🇾🇹,N/A,0.9,14.6,74314,272815,N/A,,20257,+15,178,,,
소말리아🇸🇴,N/A,5.6,47.7,1257,15893222,N/A,,19980,,1111,,,
파푸아뉴기니🇵🇬,7,1.2,92.6,2260,8947024,7,,19903,+380,229,+2,+78,+78
동티모르🇹🇱,N/A,0.6,95.4,14756,1318445,N/A,,19455,+10,115,+1,+69,+69
부룬디🇧🇮,N/A,0.2,4.4,1491,11890784,N/A,,17505,,38,,,
타지키스탄🇹🇯,N/A,0.7,99.3,1791,9537645,N/A,,17084,,124,,,
퀴라소🇨🇼,4,1.0,96.4,100339,164093,4,,16428,+45,162,+1,+39,+39
대만🇹🇼,N/A,5.2,84.7,681,23816775,N/A,,16216,+11,842,,,
아루바🇦🇼,7,1.1,97.4,144915,106766,7,,15448,+16,166,,+28,+28
모리셔스🇲🇺,N/A,0.5,12.0,12272,1271768,N/A,,15391,,79,,,
안도라🇦🇩,4,0.9,98.6,196842,77265,4,,15192,+3,130,,+5,+5
말리🇲🇱,N/A,3.6,94.1,750,20250833,N/A,,15183,+18,548,+1,+14,+14
니카라과🇳🇮,N/A,1.4,29.2,2181,6624554,N/A,,14448,+718,204,+1,,
레소토🇱🇸,N/A,2.8,47.4,6720,2142249,N/A,,14395,,403,,,
콩고공화국🇨🇬,N/A,1.4,87.2,2581,5518087,N/A,,14244,,193,,,
부르키나파소🇧🇫,N/A,1.3,97.6,680,20903273,N/A,,14213,+14,183,+2,+13,+13
지부티🇩🇯,N/A,1.3,95.3,12859,988000,N/A,,12636,+383,167,+5,+207,+207
홍콩🇭🇰,N/A,1.7,97.4,1629,7496981,N/A,,12214,+5,213,,+4,+4
남수단🇸🇸,4,1.1,96.6,1072,11193725,4,,11981,+27,128,,,
적도 기니🇬🇶,1,1.2,86.6,8706,1402985,1,,11806,,142,,,
아이슬란드🇮🇸,3,0.3,96.7,34524,341243,3,,11760,,33,,,
중앙아프리카 공화국🇨🇫,2,0.9,60.3,2354,4829767,2,,11371,,100,,,
세인트루시아🇱🇨,15,1.7,85.0,62404,183627,15,,11320,+89,195,+9,+751,+751
감비아🇬🇲,3,3.4,96.4,4111,2416668,3,,9930,,335,,,
예멘🇾🇪,23,19.0,62.1,303,29825964,23,,9039,+51,1715,+12,+47,+47
바베이도스🇧🇧,N/A,0.9,85.4,28465,287375,N/A,,7981,+217,69,+1,+185,+185
맨섬🇮🇲,1,0.7,94.5,88718,85033,1,,7510,+55,51,,,
뉴칼레도니아🇳🇨,53,1.6,0.8,25135,285498,53,,7176,+338,114,+13,,
브루나이🇧🇳,"36
+2",0.6,67.9,15886,437479,36,+2,6950,+137,40,+1,+140,+140
에리트레아🇪🇷,N/A,0.6,99.0,1892,3546421,N/A,,6697,+3,42,,+1,+1
시에라리온🇸🇱,N/A,1.9,68.5,801,7976983,N/A,,6393,,121,,+1,+1
기니비사우🇬🇼,4,2.2,86.8,3101,1968001,4,,6103,+4,135,,+12,+12
니제르🇳🇪,N/A,3.4,95.9,248,24206644,N/A,,5996,+6,201,,+4,+4
라이베리아🇱🇷,2,4.9,94.2,1146,5057681,2,,5794,,283,,,
지브롤터🇬🇮,2,1.8,97.1,164465,33691,2,,5532,,97,,,
산마리노🇸🇲,2,1.7,97.8,159972,33931,2,,5428,,91,,,
버뮤다🇧🇲,1,1.2,70.2,84203,62278,1,,5145,,62,,,
그레나다🇬🇩,N/A,2.7,66.7,45680,112523,N/A,,5039,+34,135,+5,+281,+281
차드🇹🇩,N/A,3.5,96.4,307,16425864,N/A,,5036,+2,174,,+1,+1
신트마르턴🇸🇽,10,1.5,94.3,99893,42876,10,,4263,+28,66,,+10,+10
뉴질랜드🇳🇿,5,0.6,93.3,886,4822233,5,,4248,+44,27,,+4,+4
코모로🇰🇲,N/A,3.6,95.7,4762,869601,N/A,,4137,+9,147,,+1,+1
세인트마틴 섬🇲🇫,7,1.5,37.5,96390,38666,7,,3727,,55,,,
리히텐슈타인🇱🇮,2,1.7,97.6,90406,38128,2,,3447,+2,60,,+8,+8
상투메 프린시페🇸🇹,N/A,1.5,79.4,15756,219159,N/A,,3408,+59,50,+1,+26,+26
세인트빈센트 그레나딘🇻🇨,2,0.6,71.4,30855,110940,2,,3369,+10,19,+1,+19,+19
모나코🇲🇨,2,1.0,98.1,84425,39242,2,,3312,+6,33,,+5,+5
도미니카 연방🇩🇲,N/A,0.5,81.4,45745,71986,N/A,,3293,,15,,,
앤티가 바부다🇦🇬,9,2.4,67.2,32554,97929,9,,3160,+237,76,+12,+241,+241
터크스 케이커스 제도🇹🇨,1,0.8,97.2,73249,38717,1,,2836,+2,23,,+9,+9
영국령 버진아일랜드🇻🇬,7,1.4,96.7,87394,30231,7,,2642,,37,,,
부탄🇧🇹,N/A,0.1,99.7,3371,771608,N/A,,2601,+1,3,,,
카리브 네덜란드🇧🇶,N/A,0.9,92.7,79434,26223,N/A,,2068,+23,19,,,
세인트키츠 네비스🇰🇳,1,0.6,51.8,36053,53199,1,,1891,+19,12,+1,+4,+4
생바르텔레미🇧🇱,N/A,0.2,29.5,158449,9877,N/A,,1565,,3,,,
탄자니아🇹🇿,7,3.7,13.4,23,59734218,7,,1367,,50,,,
페로 제도🇫🇴,N/A,0.2,92.9,23760,48863,N/A,,1140,,2,,,
케이맨 제도🇰🇾,N/A,0.2,92.9,12705,65722,N/A,,820,+8,2,,+1,+1
그린란드🇬🇱,2,-,77.2,10093,56770,2,,571,+6,0,,+43,+43
왈리스 퓌티나🇼🇫,N/A,1.6,98.4,-,-,N/A,,445,,7,,,
앵귈라🇦🇮,N/A,0.3,93.1,27261,15003,N/A,,389,,1,,,
마카오🇲🇴,N/A,-,88.7,109,649335,N/A,,71,+1,0,,,
포클랜드 제도🇫🇰,N/A,-,94.0,19253,3480,N/A,,67,,0,,,
몬트세랫🇲🇸,N/A,3.0,90.9,6611,4992,N/A,,33,,1,,,
생피에르 미클롱🇵🇲,N/A,-,100,5350,5794,N/A,,31,,0,,,
바티칸 시국🇻🇦,N/A,-,100,33708,801,N/A,,27,,0,,,
솔로몬 제도🇸🇧,N/A,-,100,29,686884,N/A,,20,,0,,,
서사하라🇪🇭,N/A,10,80,17,597339,N/A,,10,,1,,,
잔담(크루즈)🚢,N/A,22.2,77.8,-,-,N/A,,9,,2,,,
팔라우🇵🇼,N/A,-,100,276,18094,N/A,,5,,0,,,
마셜 제도🇲🇭,N/A,-,100,68,59190,N/A,,4,,0,,,
바누아투🇻🇺,N/A,25,75,13,307145,N/A,,4,,1,,,
사모아🇼🇸,N/A,-,100,15,198414,N/A,,3,,0,,,
세인트헬레나🇸🇭,N/A,-,100,329,6077,N/A,,2,,0,,,
미크로네시아🇫🇲,N/A,-,100,9,115023,N/A,,1,,0,,,
