국가,위중증,치명(%),완치(%),발생률,인구수,위중증_합계,위중증1일,확진자_합계,확진자1일,사망자_합계,사망자1일,완치_합계,완치1일
튀니지🇹🇳,295,3.5,95.4,59837,11818619,295,,706314,,24842,,,
그리스🇬🇷,"323
+1",2.3,93.0,62915,10423054,323,+1,653535,+2157,14795,+44,,
레바논🇱🇧,200,1.3,95.1,91456,6825445,200,,623609,+626,8316,+10,+765,+765
조지아🇬🇪,N/A,1.5,95.4,153669,3989167,N/A,,613012,+1743,8946,+29,+2266,+2266
과테말라🇬🇹,5,2.4,92.5,31275,17915568,5,,557244,+3955,13525,+72,+3739,+3739
사우디아라비아🇸🇦,"212
-12",1.6,98.0,15716,34813871,212,-12,547134,+44,8716,+3,+53,+53
벨라루스🇧🇾,N/A,0.8,96.4,56944,9449323,N/A,,538086,+1989,4143,+29,+1390,+1390
코스타리카🇨🇷,"440
-9",1.2,82.4,104470,5094118,440,-9,530113,+2036,6349,+33,+10192,+10192
스리랑카🇱🇰,N/A,2.5,88.5,24162,21413249,N/A,,516465,+941,12847,+61,+770,+770
에콰도르🇪🇨,759,6.4,87.2,28863,17643054,759,,509238,+583,32762,+15,,
불가리아🇧🇬,"458
+9",4.2,87.1,72270,6948445,458,+9,500112,+2142,20812,+87,+1306,+1306
볼리비아🇧🇴,220,3.7,91.9,42842,11673021,220,,500090,+442,18726,+10,+574,+574
아제르바이잔🇦🇿,N/A,1.3,94.6,47726,10139177,N/A,,483128,+1727,6513,+37,+4176,+4176
파나마🇵🇦,61,1.5,97.7,108198,4314767,61,,466851,+262,7223,+4,+364,+364
미얀마🇲🇲,N/A,3.8,90.1,8529,54409800,N/A,,462608,+1542,17682,+51,+1551,+1551
파라과이🇵🇾,"15
-6",3.5,96.3,64489,7132538,15,-6,459948,+49,16195,+2,+98,+98
슬로바키아🇸🇰,"120
+1",3.1,94.0,75556,5459642,120,+1,412507,+1427,12637,+17,+370,+370
쿠웨이트🇰🇼,"9
-1",0.6,99.2,96393,4270571,9,-1,411605,+33,2448,,+40,+40
크로아티아🇭🇷,"94
-5",2.1,95.7,98603,4105267,94,-5,404790,+1710,8640,+12,+924,+924
팔레스타인🇵🇸,"76
+1",1.0,92.6,79138,5101414,76,+1,403716,+1461,4098,+18,+2212,+2212
우루과이🇺🇾,"16
+3",1.6,98.1,111963,3473730,16,+3,388822,+122,6054,+1,+130,+130
아일랜드🇮🇪,"60
-3",1.4,88.1,78969,4937786,60,-3,388665,+1447,5249,+40,+1206,+1206
베네수엘라🇻🇪,681,1.2,95.2,12930,28435940,681,,367672,+1522,4454,+11,+1072,+1072
온두라스🇭🇳,418,2.7,30.2,36952,9904607,418,,365994,+735,9777,+22,+382,+382
덴마크🇩🇰,"18
+2",0.7,97.9,61945,5792202,18,+2,358796,+427,2656,+2,+317,+317
도미니카 공화국🇩🇴,"166
+10",1.1,97.4,33098,10847910,166,+10,358455,+473,4046,+5,+304,+304
에티오피아🇪🇹,"806
+26",1.6,90.2,3007,114963588,806,+26,344322,+1218,5534,+46,+468,+468
리비아🇱🇾,N/A,1.4,76.3,49493,6871292,N/A,,340084,+815,4651,+15,+1000,+1000
리투아니아🇱🇹,"215
+1",1.5,91.4,121840,2722289,215,+1,331683,+1814,4993,+28,+1182,+1182
대한민국🇰🇷,"336
+5",0.8,88.1,6072,51269185,336,+5,311289,+2564,2481,+7,+1481,+1481
몽골🇲🇳,192,0.4,95.8,92757,3278290,192,,304084,+2650,1277,+19,,
이집트🇪🇬,90,5.7,84.4,2969,102334404,90,,303783,+738,17294,+31,+809,+809
오만🇴🇲,"17
-3",1.3,98.0,59485,5106626,17,-3,303769,+31,4096,,+286,+286
슬로베니아🇸🇮,"73
-1",1.6,94.1,141112,2078938,73,-1,293364,+1031,4561,+5,+1321,+1321
몰도바🇲🇩,"166
-8",2.3,94.4,72978,4033963,166,-8,292839,+1587,6753,+21,+1230,+1230
바레인🇧🇭,5,0.5,99.2,161648,1701575,5,,274981,+56,1389,,+102,+102
아르메니아🇦🇲,N/A,2.0,92.4,88314,2963243,N/A,,261697,+1022,5319,+20,+650,+650
케냐🇰🇪,"66
-26",2.1,96.8,4639,53771296,66,-26,249434,+664,5123,+7,+340,+340
카타르🇶🇦,15,0.3,99.2,82138,2881053,15,,236643,+85,606,+1,+91,+91
보스니아 헤르체고비나🇧🇦,N/A,4.5,81.9,71560,3280819,N/A,,234775,+1000,10606,+32,,
잠비아🇿🇲,25,1.7,98.0,11371,18383955,25,,209002,+90,3648,+1,+29,+29
나이지리아🇳🇬,11,1.3,94.2,998,206139589,11,,205484,+437,2701,+6,+222,+222
알제리🇩🇿,14,2.9,68.5,4637,43851044,14,,203198,+153,5805,+8,+118,+118
북마케도니아🇲🇰,N/A,3.5,90.2,91874,2083374,N/A,,191408,+945,6668,+38,+782,+782
노르웨이🇳🇴,23,0.5,47.1,34942,5421241,23,,188850,+555,861,,,
키르기스스탄🇰🇬,131,1.5,97.0,27365,6524195,131,,178532,+88,2607,+2,+104,+104
보츠와나🇧🇼,1,1.3,97.2,76211,2351627,1,,178050,,2367,,,
우즈베키스탄🇺🇿,23,0.7,97.1,5196,33469203,23,,173895,+486,1239,+5,+516,+516
알바니아🇦🇱,3,1.6,92.5,59118,2877797,3,,169462,+680,2685,+17,+996,+996
라트비아🇱🇻,"59
-2",1.7,92.5,83921,1886198,59,-2,158291,+1208,2717,+11,+1282,+1282
에스토니아🇪🇪,"22
+4",0.9,92.1,117793,1326535,22,+4,156257,+788,1357,+5,+627,+627
아프가니스탄🇦🇫,1124,4.6,80.4,3987,38928346,1124,,155191,+17,7206,+2,+102,+102
모잠비크🇲🇿,32,1.3,97.5,4822,31255435,32,,150662,+90,1915,+3,+123,+123
핀란드🇫🇮,25,0.8,32.5,25548,5540720,25,,141552,+663,1062,,,
몬테네그로🇲🇪,N/A,1.5,93.1,209371,628066,N/A,,131020,+520,1919,+5,+652,+652
짐바브웨🇿🇼,12,3.5,94.1,8802,14862924,12,,130485,+213,4616,+1,+138,+138
나미비아🇳🇦,"9
-9",2.8,96.4,50214,2540905,9,-9,127589,+96,3511,+17,+178,+178
가나🇬🇭,42,0.9,96.4,4103,31072940,42,,127016,,1150,,,
우간다🇺🇬,268,2.6,77.8,2702,45741007,268,,123572,+127,3156,+4,+14,+14
키프로스🇨🇾,"35
+2",0.5,76.6,98083,1207359,35,+2,118421,+123,553,,,
캄보디아🇰🇭,N/A,2.1,91.3,6738,16718965,N/A,,112651,+978,2319,+17,+605,+605
코소보🇽🇰,N/A,2.1,98.0,59381,1810463,N/A,,107507,,2269,,,
호주🇦🇺,301,1.2,71.1,4123,25499884,301,,105131,+2402,1290,+12,,
엘살바도르🇸🇻,127,3.1,83.2,16088,6486205,127,,104348,,3234,+12,,
르완다🇷🇼,"10
-1",1.3,46.7,7529,12952218,10,-1,97358,+168,1264,+5,+3,+3
중국🇨🇳,N/A,4.8,94.2,67,1439323776,N/A,,96128,+22,4636,,+63,+63
싱가포르🇸🇬,"34
+4",0.1,82.2,16498,5850342,34,+4,94043,+2268,93,+8,+1086,+1086
카메룬🇨🇲,152,1.6,87.1,3477,26545863,152,,92303,+6889,1459,+91,,
몰디브🇲🇻,23,0.3,97.8,156896,540544,23,,84720,+141,231,,+106,+106
자메이카🇯🇲,"34
-8",2.2,63.1,28278,2961167,34,-8,83486,+144,1860,+1,+145,+145
룩셈부르크🇱🇺,8,1.1,97.4,124813,625978,8,,78130,+132,835,,+97,+97
세네갈🇸🇳,"6
-1",2.5,97.3,4406,16743927,6,-1,73775,+11,1858,,+40,+40
말라위🇲🇼,67,3.7,89.3,3218,19129952,67,,61552,+24,2281,+2,+260,+260
코트디부아르🇨🇮,N/A,1.0,96.2,2280,26378274,N/A,,60138,+118,621,+10,+132,+132
콩고민주공화국🇨🇩,N/A,1.9,54.3,636,89561403,N/A,,56862,,1084,,,
앙골라🇦🇴,"37
+29",2.7,84.1,1722,32866272,37,+29,56583,+543,1537,+11,+143,+143
레위니옹🇷🇪,33,0.7,98.1,59959,895312,33,,53682,,366,,,
과들루프🇬🇵,23,1.3,4.2,133921,400124,23,,53585,+445,708,+18,,
피지🇫🇯,10,1.2,72.7,56917,896445,10,,51023,+151,624,+3,+356,+356
트리니다드 토바고🇹🇹,22,2.9,88.8,36055,1399488,22,,50459,+230,1474,+8,+221,+221
에스와티니🇸🇿,10,2.7,96.0,39584,1160164,10,,45904,+34,1217,+1,+35,+35
마다가스카르🇲🇬,3,2.2,96.3,1549,27691018,3,,42898,,958,,,
수리남🇸🇷,"16
-1",2.1,65.0,70605,586632,16,-1,41419,+430,879,+9,+15,+15
마르티니크🇲🇶,1,1.5,0.3,109600,375265,1,,41129,+584,608,+26,,
프랑스령 기아나🇬🇫,32,0.6,24.5,136751,298682,32,,40845,+276,262,,,
프랑스령 폴리네시아🇵🇫,"21
-3",1.5,83.4,143029,280908,21,-3,40178,,620,+3,,
수단🇸🇩,N/A,7.6,83.8,873,43849260,N/A,,38256,+11,2901,+1,,
카보베르데🇨🇻,23,0.9,97.5,67584,555987,23,,37535,+34,337,+1,+55,+55
몰타 공화국🇲🇹,2,1.2,96.8,84135,441543,2,,37149,+22,457,,+27,+27
모리타니🇲🇷,22,2.2,96.1,7740,4649658,22,,35989,+47,774,+1,+103,+103
시리아🇸🇾,N/A,6.6,70.0,1954,17500658,N/A,,33933,+293,2238,+11,+73,+73
가이아나🇬🇾,31,2.5,84.6,40224,786552,31,,31638,+279,783,+5,+123,+123
기니🇬🇳,24,1.2,94.8,2314,13132795,24,,30392,+10,378,,+24,+24
가봉🇬🇦,26,0.6,90.3,13261,2225734,26,,29515,,183,,,
토고🇹🇬,N/A,0.9,90.3,3064,8278724,N/A,,25368,+45,228,+1,+167,+167
베냉🇧🇯,5,0.7,92.1,1971,12123200,5,,23890,+932,159,+5,+4699,+4699
라오스🇱🇦,N/A,0.1,23.3,3278,7275560,N/A,,23846,+358,18,+1,,
아이티🇭🇹,N/A,2.8,89.9,1898,11402528,N/A,,21647,,610,,,
세이셸🇸🇨,N/A,0.5,97.9,217058,98347,N/A,,21347,,115,,,
바하마🇧🇸,15,2.5,88.1,53361,393244,15,,20984,+142,531,+8,+168,+168
벨리즈🇧🇿,10,2.0,87.3,51727,397628,10,,20568,+273,409,+1,+198,+198
마요트🇾🇹,N/A,0.9,14.6,74314,272815,N/A,,20274,+17,178,,,
파푸아뉴기니🇵🇬,7,1.1,91.2,2260,8947024,7,,20221,+318,229,,+18,+18
소말리아🇸🇴,N/A,5.6,47.7,1257,15893222,N/A,,19980,,1111,,,
동티모르🇹🇱,N/A,0.6,95.5,14789,1318445,N/A,,19498,+43,117,+2,+56,+56
부룬디🇧🇮,N/A,0.2,4.4,1491,11890784,N/A,,17728,+223,38,,,
타지키스탄🇹🇯,N/A,0.7,99.3,1791,9537645,N/A,,17084,,124,,,
퀴라소🇨🇼,4,1.0,96.5,100339,164093,4,,16465,+37,162,,+56,+56
대만🇹🇼,N/A,5.2,84.7,681,23816775,N/A,,16223,+7,842,,,
모리셔스🇲🇺,N/A,0.5,11.9,12341,1271768,N/A,,15607,+216,82,+3,,
아루바🇦🇼,7,1.1,97.4,144915,106766,7,,15472,+24,166,,+24,+24
안도라🇦🇩,4,0.9,98.6,197010,77265,4,,15209,+17,130,,+13,+13
말리🇲🇱,N/A,3.6,94.1,750,20250833,N/A,,15194,+11,548,,+11,+11
니카라과🇳🇮,N/A,1.4,29.2,2181,6624554,N/A,,14448,,204,,,
레소토🇱🇸,N/A,2.8,47.4,6720,2142249,N/A,,14395,,403,,,
콩고공화국🇨🇬,N/A,1.4,87.2,2581,5518087,N/A,,14244,,193,,,
부르키나파소🇧🇫,N/A,1.3,97.6,681,20903273,N/A,,14213,,183,,,
지부티🇩🇯,N/A,1.3,95.2,12859,988000,N/A,,12705,+69,167,,+46,+46
홍콩🇭🇰,N/A,1.7,97.4,1630,7496981,N/A,,12217,+3,213,,+4,+4
적도 기니🇬🇶,1,1.2,87.8,8811,1402985,1,,12214,+408,146,+4,+496,+496
남수단🇸🇸,4,1.1,96.8,1072,11193725,4,,11995,+14,128,,+47,+47
아이슬란드🇮🇸,3,0.3,96.7,34524,341243,3,,11781,+21,33,,+26,+26
세인트루시아🇱🇨,15,1.8,84.8,62404,183627,15,,11459,+139,201,+6,+93,+93
중앙아프리카 공화국🇨🇫,2,0.9,60.3,2354,4829767,2,,11371,,100,,,
감비아🇬🇲,3,3.4,96.5,4111,2416668,3,,9934,+4,338,+3,+17,+17
예멘🇾🇪,23,19.0,62.1,304,29825964,23,,9067,+28,1721,+6,+17,+17
바베이도스🇧🇧,N/A,0.8,88.7,29164,287375,N/A,,8180,+199,69,,+434,+434
맨섬🇮🇲,1,0.7,94.7,88718,85033,1,,7544,+34,51,,+47,+47
뉴칼레도니아🇳🇨,53,1.6,0.8,25135,285498,53,,7176,,114,,,
브루나이🇧🇳,"34
-2",0.6,68.5,16266,437479,34,-2,7116,+166,42,+2,+153,+153
에리트레아🇪🇷,N/A,0.6,98.8,1895,3546421,N/A,,6709,+12,42,,,
시에라리온🇸🇱,N/A,1.9,68.5,801,7976983,N/A,,6393,,121,,,
기니비사우🇬🇼,4,2.2,86.9,3101,1968001,4,,6103,,135,,+7,+7
니제르🇳🇪,N/A,3.3,95.8,248,24206644,N/A,,6008,+12,201,,+4,+4
라이베리아🇱🇷,2,4.9,94.2,1147,5057681,2,,5797,+3,285,+2,,
지브롤터🇬🇮,2,1.8,97.0,164465,33691,2,,5541,+9,97,,+3,+3
산마리노🇸🇲,2,1.7,97.8,159972,33931,2,,5428,,91,,,
버뮤다🇧🇲,1,1.4,70.9,84203,62278,1,,5244,+99,72,+10,+106,+106
그레나다🇬🇩,N/A,2.7,66.5,45680,112523,N/A,,5140,+101,139,+4,+56,+56
차드🇹🇩,N/A,3.5,96.4,307,16425864,N/A,,5037,+1,174,,+2,+2
신트마르턴🇸🇽,10,1.5,94.3,99893,42876,10,,4283,+20,66,,+15,+15
뉴질랜드🇳🇿,5,0.6,93.0,886,4822233,5,,4273,+25,27,,+9,+9
코모로🇰🇲,N/A,3.5,95.7,4762,869601,N/A,,4141,+4,147,,+2,+2
세인트마틴 섬🇲🇫,7,1.5,37.5,96390,38666,7,,3727,,55,,,
상투메 프린시페🇸🇹,N/A,1.4,79.5,15783,219159,N/A,,3453,+45,50,,+39,+39
리히텐슈타인🇱🇮,2,1.7,97.7,90406,38128,2,,3447,,60,,+3,+3
세인트빈센트 그레나딘🇻🇨,2,0.6,70.7,31621,110940,2,,3423,+54,19,,+13,+13
모나코🇲🇨,2,1.0,98.2,84450,39242,2,,3313,+1,33,,+2,+2
도미니카 연방🇩🇲,N/A,0.5,81.4,48357,71986,N/A,,3293,,15,,,
앤티가 바부다🇦🇬,9,2.4,66.9,32993,97929,9,,3188,+28,76,,+11,+11
터크스 케이커스 제도🇹🇨,1,0.8,97.2,73456,38717,1,,2836,,23,,,
영국령 버진아일랜드🇻🇬,7,1.4,96.7,87394,30231,7,,2642,,37,,,
부탄🇧🇹,N/A,0.1,99.7,3371,771608,N/A,,2601,,3,,+1,+1
카리브 네덜란드🇧🇶,N/A,0.9,92.1,79434,26223,N/A,,2083,+15,19,,,
세인트키츠 네비스🇰🇳,1,0.7,51.6,36053,53199,1,,1918,+27,13,+1,+10,+10
생바르텔레미🇧🇱,N/A,0.2,29.5,158449,9877,N/A,,1565,,3,,,
탄자니아🇹🇿,7,3.7,13.4,23,59734218,7,,1367,,50,,,
페로 제도🇫🇴,N/A,0.2,91.0,24108,48863,N/A,,1178,+38,2,,+13,+13
케이맨 제도🇰🇾,N/A,0.2,91.6,12705,65722,N/A,,835,+15,2,,+3,+3
그린란드🇬🇱,2,-,78.4,10146,56770,2,,573,+2,0,,+8,+8
왈리스 퓌티나🇼🇫,N/A,1.6,98.4,-,-,N/A,,445,,7,,,
앵귈라🇦🇮,N/A,0.2,91.4,27261,15003,N/A,,409,+20,1,,+12,+12
마카오🇲🇴,N/A,-,88.7,109,649335,N/A,,71,,0,,,
포클랜드 제도🇫🇰,N/A,-,94.0,19253,3480,N/A,,67,,0,,,
몬트세랫🇲🇸,N/A,3.0,90.9,6811,4992,N/A,,33,,1,,,
생피에르 미클롱🇵🇲,N/A,-,100,5350,5794,N/A,,31,,0,,,
바티칸 시국🇻🇦,N/A,-,100,33708,801,N/A,,27,,0,,,
솔로몬 제도🇸🇧,N/A,-,100,29,686884,N/A,,20,,0,,,
서사하라🇪🇭,N/A,10,80,17,597339,N/A,,10,,1,,,
잔담(크루즈)🚢,N/A,22.2,77.8,-,-,N/A,,9,,2,,,
팔라우🇵🇼,N/A,-,100,276,18094,N/A,,5,,0,,,
마셜 제도🇲🇭,N/A,-,100,68,59190,N/A,,4,,0,,,
바누아투🇻🇺,N/A,25,75,13,307145,N/A,,4,,1,,,
사모아🇼🇸,N/A,-,100,15,198414,N/A,,3,,0,,,
세인트헬레나🇸🇭,N/A,-,100,329,6077,N/A,,2,,0,,,
미크로네시아🇫🇲,N/A,-,100,9,115023,N/A,,1,,0,,,
