거래일자,지역,연료원,발전량
2018-01-12,전라북도,석탄,15418.12332
2018-01-12,충청남도,석탄,350649.7705
2018-01-12,경기도,유류,19546.6911
2018-01-12,경상남도,유류,209.091834
2018-01-12,대구시,유류,527.452576
2018-01-12,대전시,유류,890.10712
2018-01-12,울산시,유류,23911.70787
2018-01-12,전라북도,유류,365.48796
2018-01-12,제주도,유류,8733.479104
2018-01-12,충청남도,유류,0
2018-01-12,충청북도,유류,1126.767684
2018-01-12,강원도,LNG,23111.26468
2018-01-12,경기도,LNG,264034.2184
2018-01-12,경상북도,LNG,9744.929968
2018-01-12,광주시,LNG,2831.735312
2018-01-12,대구시,LNG,9272.7516
2018-01-12,부산시,LNG,41772.62783
2018-01-12,서울시,LNG,456.567274
2018-01-12,세종시,LNG,11938.20734
2018-01-12,울산시,LNG,51769.03189
2018-01-12,인천시,LNG,86563.5005
2018-01-12,전라남도,LNG,45849.88257
2018-01-12,전라북도,LNG,14760.80626
2018-01-12,충청남도,LNG,39925.32187
2018-01-12,대전시,LNG,802.84638
2018-01-13,강원도,석탄,56524.92683
2018-01-13,경기도,석탄,1239.34692
2018-01-13,경상남도,석탄,161774.9836
2018-01-13,경상북도,석탄,2585.657144
2018-01-13,대구시,석탄,48.832056
2018-01-13,부산시,석탄,40.82688
2018-01-13,인천시,석탄,96064.72309
2018-01-13,전라남도,석탄,31287.23114
2018-01-13,전라북도,석탄,14620.96196
2018-01-13,충청남도,석탄,334458.251
2018-01-13,경기도,유류,5206.241721
2018-01-13,경상남도,유류,204.61497
2018-01-13,대구시,유류,528.78756
2018-01-13,대전시,유류,884.762368
2018-01-13,울산시,유류,23409.37909
2018-01-13,전라북도,유류,393.09654
2018-01-13,제주도,유류,9266.051536
2018-01-13,충청남도,유류,0
2018-01-13,충청북도,유류,1146.134556
2018-01-13,강원도,LNG,10441.74376
2018-01-13,경기도,LNG,206652.5097
2018-01-13,경상북도,LNG,8426.510083
2018-01-13,광주시,LNG,2148.335588
2018-01-13,대구시,LNG,7578.51416
2018-01-13,부산시,LNG,35350.38229
2018-01-13,서울시,LNG,432.455252
2018-01-13,세종시,LNG,11762.26106
2018-01-13,울산시,LNG,27914.17069
2018-01-13,인천시,LNG,61977.94905
2018-01-13,전라남도,LNG,41193.47074
2018-01-13,전라북도,LNG,10784.98157
2018-01-13,충청남도,LNG,5542.267805
2018-01-13,대전시,LNG,774.308724
2018-01-14,강원도,석탄,62437.85037
2018-01-14,경기도,석탄,1131.238332
2018-01-14,경상남도,석탄,159015.1256
2018-01-14,경상북도,석탄,2544.280256
2018-01-14,대구시,석탄,9.224712
2018-01-14,부산시,석탄,0
2018-01-14,인천시,석탄,95740.34531
2018-01-14,전라남도,석탄,30105.93322
2018-01-14,전라북도,석탄,14596.67301
2018-01-14,충청남도,석탄,315057.9139
2018-01-14,경기도,유류,700.624568
2018-01-14,경상남도,유류,193.120074
2018-01-14,대구시,유류,526.290744
2018-01-14,대전시,유류,745.551632
2018-01-14,울산시,유류,1425.528082
2018-01-14,전라북도,유류,379.55976
2018-01-14,제주도,유류,8664.91724
2018-01-14,충청남도,유류,0
2018-01-14,충청북도,유류,1152.649848
2018-01-14,강원도,LNG,7669.37136
2018-01-14,경기도,LNG,160487.6371
2018-01-14,경상북도,LNG,6522.837969
2018-01-14,광주시,LNG,1553.84733
2018-01-14,대구시,LNG,7301.04368
2018-01-14,부산시,LNG,15326.87776
2018-01-14,서울시,LNG,707.063882
2018-01-14,세종시,LNG,11698.87499
2018-01-14,울산시,LNG,22092.79133
2018-01-14,인천시,LNG,50872.56784
2018-01-14,전라남도,LNG,35052.50376
2018-01-14,전라북도,LNG,5045.522088
2018-01-14,충청남도,LNG,7718.563664
2018-01-14,대전시,LNG,230.513724
2018-01-15,강원도,석탄,72545.03653
2018-01-15,경기도,석탄,1319.760708
2018-01-15,경상남도,석탄,161084.7459
2018-01-15,경상북도,석탄,2625.383096
2018-01-15,대구시,석탄,46.347
2018-01-15,부산시,석탄,137.7864
2018-01-15,인천시,석탄,107147.5947
2018-01-15,전라남도,석탄,30013.89734
2018-01-15,전라북도,석탄,14440.77646
2018-01-15,충청남도,석탄,335372.6193
2018-01-15,경기도,유류,12079.84973
2018-01-15,경상남도,유류,207.21792
2018-01-15,대구시,유류,536.153128
2018-01-15,대전시,유류,590.55136
2018-01-15,울산시,유류,16416.79364
2018-01-15,전라북도,유류,386.254212
2018-01-15,제주도,유류,7961.692704
2018-01-15,충청남도,유류,0
2018-01-15,충청북도,유류,1152.663624
2018-01-15,강원도,LNG,13967.56508
2018-01-15,경기도,LNG,210993.6385
2018-01-15,경상북도,LNG,7503.40525
2018-01-15,광주시,LNG,2705.94779
2018-01-15,대구시,LNG,8150.28536
2018-01-15,부산시,LNG,25722.20658
2018-01-15,서울시,LNG,681.935498
2018-01-15,세종시,LNG,12139.93256
2018-01-15,울산시,LNG,34482.98728
2018-01-15,인천시,LNG,63884.39229
2018-01-15,전라남도,LNG,36698.69563
2018-01-15,전라북도,LNG,6960.371477
2018-01-15,충청남도,LNG,22734.30256
2018-01-15,대전시,LNG,951.455064
2018-01-16,강원도,석탄,71883.06033
2018-01-16,경기도,석탄,1396.986276
2018-01-16,경상남도,석탄,163433.3215
2018-01-16,경상북도,석탄,2610.439832
2018-01-16,대구시,석탄,23.944536
2018-01-16,부산시,석탄,174.40704
2018-01-16,인천시,석탄,112840.9942
2018-01-16,전라남도,석탄,30639.45122
2018-01-16,전라북도,석탄,14495.66092
2018-01-16,충청남도,석탄,345287.8174
2018-01-16,경기도,유류,16477.1963
2018-01-16,경상남도,유류,291.951576
2018-01-16,대구시,유류,551.71396
2018-01-16,대전시,유류,675.480736
2018-01-16,울산시,유류,24175.99356
2018-01-16,전라북도,유류,399.45258
2018-01-16,제주도,유류,8106.752808
2018-01-16,충청남도,유류,0
2018-01-16,충청북도,유류,1161.422556
2018-01-16,강원도,LNG,13725.29424
2018-01-16,경기도,LNG,219820.807
2018-01-16,경상북도,LNG,8062.762158
2018-01-16,광주시,LNG,1376.87795
2018-01-16,대구시,LNG,9462.59832
2018-01-16,부산시,LNG,31553.2649
2018-01-16,서울시,LNG,710.447477
2018-01-16,세종시,LNG,12275.82317
2018-01-16,울산시,LNG,40494.27271
2018-01-16,인천시,LNG,67454.15031
2018-01-16,전라남도,LNG,39166.76291
2018-01-16,전라북도,LNG,8228.902955
2018-01-16,충청남도,LNG,32375.0968
2018-01-16,대전시,LNG,0
2018-01-17,강원도,석탄,73324.47826
2018-01-17,경기도,석탄,1400.344428
2018-01-17,경상남도,석탄,164201.8785
2018-01-17,경상북도,석탄,2590.958944
2018-01-17,대구시,석탄,15.407784
