,앱명,개발사,상승률, 업종 대분류, 업종 소분류
153,네이버 MYBOX - 네이버 클라우드의 새 이름,NAVER Corp.,-1.83%,생산성,클라우드
154,"하나멤버스 - 포인트, 쿠폰, 해외결제, 무료송금",HANA CARD,0.21%,금융,은행/뱅킹서비스
155,카카오지하철 (지하철 내비게이션 3.0),Kakao Corporation,6.97%,여행/교통,대중교통
156,"Microsoft Excel: 스프레드시트 보기, 편집 및 만들기",Microsoft Corporation,-1.23%,생산성,문서
157,브롤스타즈,Supercell,-0.35%,게임,액션게임
158,"LIVE스코어 - 축구, 야구, 농구, 배구 등 가장 빠른 스포츠 전종목 라이브스코어",PSYNET,-10.58%,스포츠/레저,스코어
159,NH농협카드 스마트앱,농협BANK,-7.17%,금융,신용카드
160,증권플러스 - 국민 증권앱,Dunamu,-0.12%,금융,증권/투자
161,컬러노트 메모장 - 노트 메모 위젯,Notes,0.16%,생산성,기록/일정관리
162,마켓컬리-내일의 장보기,(주)컬리,-15.04%,식음료,식음료판매
163,"현대Hmall - 홈쇼핑, 백화점",(주) 현대홈쇼핑,-5.12%,쇼핑,종합쇼핑/홈쇼핑
164,Google Play 게임,Google LLC,18.55%,게임,게임정보
165,Pinterest (핀터레스트): 수백만개의 아이디어,Pinterest,-0.20%,소셜네트워크,SNS/커뮤니티
166,"PAYCO - 페이코, 혜택까지 똑똑한 간편결제",NHN Corp.,1.52%,금융,송금/결제
167,"L.POINT - 엘포인트 [ 포인트, 멤버십, 적립, 사용, 모바일 카드, 쿠폰, 롯데]",L.POINT,1.78%,금융,쿠폰/포인트/상품권
168,CJ대한통운 택배,CJ Logistics,1.86%,가정/생활,택배
169,신한금융투자 알파 (계좌개설 겸용),Shinhan Investment Corp.,1.78%,금융,증권/투자
170,온라인 패션 스토어 무신사,MUSINSA,-0.38%,패션/의류,종합패션몰
171,학교종이,학교종이,-0.51%,가족,학부모
172,T map,SK telecom,4.73%,여행/교통,지도/네비게이션
173,SODA 소다 - Natural Beauty Camera,"SNOW, Inc.",10.55%,사진/동영상,카메라
174,"비플제로페이 - 온누리상품권, 서울사랑상품권, 지역사랑상품권",비즈플레이(주),-12.55%,금융,쿠폰/포인트/상품권
175,"AliExpress - 스마트한쇼핑, 더즐거운생활",Alibaba Mobile,0.17%,쇼핑,소셜커머스/오픈마켓
176,"직방 - No.1 부동산 앱 (아파트, 분양, 원룸, 오피스텔, 빌라, 상가)",ZIGBANG,-11.14%,금융,부동산
177,KT 멤버십,KT Corporation,13.49%,금융,쿠폰/포인트/상품권
178,"Alarmy - 매일 아침, 나를 바꾸는 알라미",Alarm Clock Alarmy,0.45%,유틸리티,알람
179,"리디북스 - 웹툰, 웹소설부터 전자책까지!",RIDI Corporation,-1.91%,도서/참고자료,도서/전자도서
180,브랜디 – 하루배송,Brandi Inc.,1.20%,패션/의류,여성의류
181,PASS by U+ 운전면허증이 내 휴대폰속으로!,LG유플러스(LG Uplus Corporation),-8.07%,유틸리티,인증관리
182,CJ ONE,CJ OliveNetworks Co.ltd,13.88%,금융,쿠폰/포인트/상품권
183,OP.GG - for 롤/배그/옵치 전적검색,OP.GG,0.48%,게임,게임정보
184,롯데홈쇼핑,Lotte Homeshopping,-0.45%,쇼핑,종합쇼핑/홈쇼핑
185,이마트 - 매장쇼핑 전 필수!,EMART,-12.79%,쇼핑,마트
186,이마트몰 – emart mall,SSG.COM,-6.00%,쇼핑,마트
187,Bill Letter,SKTelecom,-,정보/통신,유/무선통신
188,네이버 사전,NAVER Corp.,0.39%,도서/참고자료,어학사전/번역기
189,"메모G_사진 메모, 비밀 노트, 할일 정리",Gion Lab,0.20%,생산성,기록/일정관리
190,SSG.COM,SSG.COM,-2.84%,쇼핑,종합쇼핑/홈쇼핑
191,B612 - Best Free Camera & Photo/Video Editor,"SNOW, Inc.",7.66%,사진/동영상,카메라
192,NH투자증권 QV(큐브)-계좌개설 겸용,NH투자증권(주),0.19%,금융,증권/투자
193,알바몬 - 알바 채용 전문 플랫폼,잡코리아,0.34%,비즈니스/산업,구인/구직
194,네이버 메모 – Naver Memo,NAVER Corp.,-0.54%,생산성,기록/일정관리
195,Seezn(시즌) - 즐거움을 다 본다!,KT corp.,-12.46%,엔터테인먼트,동영상스트리밍
196,마이 홈플러스,Home plus,-0.09%,쇼핑,마트
197,Galaxy Wearable (Samsung Gear),"Samsung Electronics Co., Ltd.",6.32%,유틸리티,디바이스제어
198,Pokémon GO,"Niantic, Inc.",10.65%,게임,어드벤처게임
199,현대 블루링크,HYUNDAI MOTOR COMPANY LTD,4.11%,자동차,자동차브랜드/구매정보
